"Timestamp","Accelerometer X","Accelerometer Y","Accelerometer Z","Gyroscope X","Gyroscope Y","Gyroscope Z","System Timestamp"
2929.718,-0.21048117,0.1598825,9.320099,0.0,-0.36363637,0.0,1400729740855
2947.2961,-0.011261804,0.23118563,9.521672,0.0,0.0,0.0,1400729740887
2964.8743,-0.17963256,0.2544402,9.374518,0.0,0.72727275,0.72727275,1400729740896
2982.4524,-0.11674398,0.18129733,9.340232,-0.36363637,0.36363637,0.36363637,1400729740935
3000.0305,-0.20007521,0.21353182,9.372678,-0.36363637,0.0,0.0,1400729740938
3017.6086,-0.0018975355,0.24712898,9.432375,-0.36363637,-0.36363637,0.0,1400729740967
3035.1868,-0.18962067,-0.0010915921,9.161841,-0.36363637,0.0,0.0,1400729740971
3052.765,-0.24521863,0.4852439,9.296715,0.0,0.0,0.36363637,1400729741003
3070.343,-0.23170704,0.23300448,9.353968,0.36363637,0.36363637,0.36363637,1400729741005
3087.9211,-0.081538156,-0.09863439,9.455884,0.0,0.36363637,0.36363637,1400729741039
